,Instance,Radii,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
46,5,0.25,16,30,True,False,0.014573974974453233,3600.384047985077,39.32059931755066,82114.0,47.66524580777424,,
47,5,0.5,16,30,True,False,0.13325444040352719,3600.441586971283,40.389402866363525,62613.0,44.01801517325706,,
48,5,1.0,16,30,True,False,,,,,,,
49,6,0.25,16,26,True,False,4.742126957703487e-05,941.0219240188599,29.490984678268433,21947.0,52.18309018526277,,
50,6,0.5,16,26,True,False,,,,,,,
51,6,1.0,16,26,True,False,,,,,,,
52,7,0.25,16,30,True,False,1.4044964589299866e-05,1113.3344299793243,40.229411363601685,33512.0,53.008356036072584,,
53,7,0.5,16,30,True,False,0.16667071179511628,3600.353623151779,41.12649607658386,121562.0,47.80719237268901,,
54,7,1.0,16,30,True,False,,,,,,,
55,8,0.25,16,30,True,False,0.03155552164620421,3600.4285640716553,41.97947120666504,59547.0,53.803786464720545,,
56,8,0.5,16,30,True,False,,,,,,,
57,8,1.0,16,30,True,False,,,,,,,
58,9,0.25,16,25,True,False,0.040992331994987995,3600.233628988266,26.860557794570923,76454.0,48.476507833948986,,
59,9,0.5,16,25,True,False,0.2569202651460293,3600.26691198349,27.532418966293335,222702.0,48.559835684995164,,
60,9,1.0,16,25,True,False,,,,,,,
61,0,0.25,18,36,True,False,0.011989617880944376,3600.461937904358,63.205472230911255,194148.0,56.10100879411726,,
62,0,0.5,18,36,True,False,,,,,,,
63,0,1.0,18,36,True,False,,,,,,,
64,1,0.25,18,32,True,False,5.958896138816261e-07,866.9041259288788,51.122883796691895,35271.0,50.110393654312674,,
65,1,0.5,18,32,True,False,0.15733224793659997,3600.4733459949493,51.98049235343933,112045.0,46.389206952310275,,
66,1,1.0,18,32,True,False,,,,,,,
67,2,0.25,18,29,True,False,0.05731766813377,3600.306876897812,43.00189661979675,134146.0,47.12469923602734,,
68,2,0.5,18,29,True,False,0.2861239282644848,3600.3536949157715,44.63564443588257,58220.0,44.3332882780413,,
69,2,1.0,18,29,True,False,,,,,,,
70,3,0.25,18,30,True,False,0.019334164196551148,3600.3936970233917,45.64865732192993,77534.0,47.452816268193615,,
71,3,0.5,18,30,True,False,,,,,,,
72,3,1.0,18,30,True,False,,,,,,,
73,4,0.25,18,35,True,False,0.020552648081131643,3601.5817000865936,64.10325050354004,47729.0,58.31102216984155,,
74,4,0.5,18,35,True,False,0.12162985826015237,3600.4965579509735,64.6089539527893,54136.0,54.17112288723147,,
75,4,1.0,18,35,True,False,,,,,,,
76,5,0.25,18,27,True,False,0.08590991885304981,3600.265589952469,37.36735248565674,58936.0,50.310934738335845,,
77,5,0.5,18,27,True,False,0.26067205183193093,3600.379198074341,39.317768573760986,35519.0,47.42206524219051,,
78,5,1.0,18,27,True,False,,,,,,,
